location,population,HighestInfectionCount,PercentPopulationInfected
Kyrgyzstan,6527743,205198,3.1434754707714445
Sri Lanka,21773441,668827,3.0717560903671588
Solomon Islands,707851,21544,3.0435783801958318
El Salvador,6314167,190818,3.0220613423750113
Laos,7425058,213072,2.8696341496591677
Sao Tome and Principe,223107,6123,2.7444230795089353
Kiribati,128874,3430,2.6615143473470213
Indonesia,273753191,6306686,2.3037853830898358
Saudi Arabia,35950396,812486,2.2600196114668667
Gabon,2341179,48635,2.0773721274622745
Venezuela,28199866,540977,1.9183672716742695
Timor,1320942,23114,1.7498118766758874
Zambia,19473125,332264,1.7062695381455211
Zimbabwe,15993524,256596,1.6043743705264708
Lesotho,2281454,34206,1.4993070208735306
Djibouti,1105557,15690,1.4191941256760165
Mauritania,4614974,62726,1.3591842554259244
Bangladesh,169356251,2009697,1.1866683326616623
Myanmar,53798084,614573,1.1423696799313523
Equatorial Guinea,1634466,16917,1.0350169413129426
Comoros,821626,8409,1.0234583618337296
Rwanda,13461888,132385,0.9834058937349649
Cambodia,16589023,137377,0.82811989590948176
Mozambique,32077072,229975,0.71694511269607153
Uzbekistan,34081449,243638,0.7148698401878395
Pakistan,231402116,1565319,0.67644973479844928
Kenya,53005614,338022,0.63770980937981392
Algeria,44177969,269650,0.61037210651309026
Senegal,16876720,87890,0.52077654899767256
Ghana,32833031,168457,0.51307172950313362
Afghanistan,40099462,190254,0.47445524331473576
Egypt,109262178,515645,0.47193366399853381
Gambia,2639916,12238,0.46357535618557555
Papua New Guinea,9949437,44846,0.45073907196959989
Cameroon,27198628,120967,0.4447540515646598
Togo,8644829,38348,0.44359466219632565
Malawi,19889742,87771,0.44128777537687514
Congo,5835806,24837,0.42559673847965473
Guinea-Bissau,2060721,8482,0.41160351158647868
Ethiopia,120283026,492935,0.4098126031515037
Burundi,12551213,48808,0.38887078085600174
Uganda,45853778,169396,0.36942648433461683
Cote d'Ivoire,27478249,86372,0.31432861679068413
Angola,34503774,102636,0.29746311229606359
Haiti,11447569,32703,0.28567637373489513
Eritrea,3620312,10149,0.28033495455640284
Guinea,13531906,37470,0.27690112538470191
Central African Republic,5457154,14803,0.27125860842483096
Syria,21324367,56831,0.26650732469573424
Madagascar,28915653,66599,0.23032161853650687
Nicaragua,6850540,14899,0.217486504713497
Benin,12996895,27316,0.21017327600169117
Tajikistan,9750064,17786,0.18241931540141687
South Sudan,10748272,17823,0.16582200376023234
Somalia,17065581,27020,0.15833038441527425
Liberia,5193416,7656,0.14741742236708941
Mali,21904983,31257,0.14269355972565692
Sudan,45657202,63147,0.13830676702440065
Nigeria,213401323,262748,0.12312388522539759
Macao,686607,793,0.11549547266485778
Democratic Republic of Congo,95894118,92543,0.096505397755470262
Burkina Faso,22100683,21128,0.095598855474285566
Sierra Leone,8420641,7743,0.0919526197589946
Saint Helena,5404,4,0.074019245003700954
China,1425893464,936040,0.065645858097572424
Tanzania,63588334,38454,0.060473356638027352
Chad,17179740,7458,0.043411599942723235
Niger,25252722,9183,0.0363643966777126
Yemen,32981641,11915,0.036126158792402115
North Korea,25971909,1,3.850313814051944e-06
Western Sahara,565581,,
Guernsey,63065,,
Guam,170534,,
Jersey,109618,,
Northern Mariana Islands,49481,,
Niue,1937,,
Nauru,12512,,
Pitcairn,47,,
Puerto Rico,3256028,,
Sint Maarten (Dutch part),44042,,
Tokelau,1849,,
Turkmenistan,6341855,,
Tuvalu,11204,,
United States Virgin Islands,100091,,
Northern Cyprus,,,
