location,population,percent_single_dose,percent_fully_vaccinated
Czechia,10510750,66.325371643317553,65.511252765026285
Anguilla,15753,68.850377705833807,65.473243191773
Saint Helena,5404,80.699481865284966,65.34048852701703
Mongolia,3347782,67.894653833493336,64.9868181380986
Hungary,9709786,66.069190402342542,63.868266509684148
Estonia,1328701,65.125411962510753,63.56328474201495
Morocco,37076584,67.378941921941887,63.310055748393644
Mexico,126705138,74.768885852127013,63.097259718070788
Philippines,113880328,67.194532492038491,63.083880474949105
New Caledonia,287800,65.515635858234887,62.723419041000696
Turkey,84775404,68.306330925889782,62.680217955670258
Bonaire Sint Eustatius and Saba,26706,71.553209016700364,62.667565341121843
Indonesia,273753191,74.168224033596744,62.303655119768088
Tokelau,1849,72.417522985397511,60.843699296917251
French Polynesia,304032,61.951373539627411,60.681441427218189
Sint Maarten (Dutch part),44042,64.715498842014441,60.203896280822853
Poland,38307726,59.415145132864325,58.832372352250829
British Virgin Islands,31122,62.441359809780863,58.43776106934002
Botswana,2588423,65.5391332869473,58.435850709099711
Slovenia,2119410,59.724262884482,57.66817180252994
Guyana,804567,60.391614371456946,57.37309633629021
Saint Kitts and Nevis,47606,70.98685039700878,56.597907826744532
Pakistan,231402116,60.021273962767054,56.474833618202524
Timor,1320942,64.142785981519239,55.853171448859982
Wallis and Futuna,11627,55.758149135632586,55.53453169347209
Croatia,4060135,57.067166485843444,55.344415887649056
Kazakhstan,19196465,56.334476165273138,54.960556539967122
Barbados,281200,58.004267425320052,54.855618776671413
Belize,400031,62.442410713169728,54.712759761118512
Dominican Republic,11117874,65.340387919488933,54.206685558767795
Honduras,10278346,61.18405626741891,53.787846799475325
Curacao,190338,56.960249661129147,52.416753354558729
Cape Verde,587925,60.544627290895946,52.395118424969169
Paraguay,6703799,59.345051962327631,52.285249005824909
Tunisia,12262946,72.523445834304411,52.023624665720611
Russia,145102755,57.19177489083512,51.927512334276493
Tajikistan,9750064,53.615073706182848,51.772685799806027
Myanmar,53798084,64.644149780501479,51.201319734732564
Slovakia,5447622,51.819289223811779,50.734595755726076
Venezuela,28199866,78.57211803772401,50.664673371142968
Bolivia,12079472,60.425753708440233,50.3379949057376
Kiribati,128874,63.277309620249234,48.089606902866365
Serbia,6871547,48.811061031817147,47.706840977730344
Falkland Islands,3764,69.92561105207227,47.157279489904354
Azerbaijan,10312992,52.07992985934635,47.13007631538936
Trinidad and Tobago,1525663,49.336845686104994,46.935070195711639
Comoros,821626,51.514314298719853,46.497068009045478
Uzbekistan,34081449,58.361506284547936,46.342319541636861
Kosovo,1782115,50.83454210306293,46.260538741888155
Turkmenistan,6341855,46.831723525687671,46.043310671719865
Sao Tome and Principe,223107,56.764243165835225,45.569614579551512
Montenegro,627859,46.599793902771161,45.335338029716866
Liberia,5193416,50.948104292049777,44.828394259192791
Albania,2854710,46.640569444882317,43.974414213702964
Montserrat,4417,47.0455059995472,43.536336880235453
Lebanon,5592631,48.544218275799,42.737040938334744
Dominica,72412,45.395790752913882,42.211235706788926
Romania,19328560,42.316520216715574,41.983308637580862
Vanuatu,319136,44.914707209465561,40.9251855008523
Jordan,11148278,43.205991095665183,40.856453346427138
Mozambique,32077072,41.840128051587747,39.920339362645066
Bahamas,407906,42.017278490632648,39.893750030644313
North Macedonia,2103330,40.607037412103665,39.823185139754578
Suriname,612984,43.691189329574669,38.806722524568343
Guatemala,17608483,48.876839645981995,38.2760059455434
Lesotho,2281454,40.511358107592784,38.250212364571013
Egypt,109262178,47.788221830979793,35.679739058469075
